Country,18-24,25-34,35-44,45-54,55-64,65-74,75+,Employed / Self employed,Unemployed,Homemaker,Studying,Retired,Not able to work,Primary Education,Some High School,High School,Associate’s Degree,Vocational certification,Bachelor's Degree,Master's Degree,PhD or Doctorate,% Distressed,% Struggling,% Enduring,% Managing,% Succeeding,% Thriving,Average MHQ Score,Average Cognition Score,Average Adaptability & Resilence Score,Average Drive & Motivation Score,Average Mood & Outlook Score,Average Social Self Score,Average Mind-Body Connection Score,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,tempo,energy,valence,danceability,loudness,speechiness,acousticness,instrumentalness,liveness,region,track_genre
India,20.69,33.58,59.43,82.58,98.99,105.2,108.09,71.18,20.71,71.01,20.0,102.73,24.18,26.52,37.06,26.09,67.41,82.42,60.42,75.42,96.75,7.21,23.2,13.83,19.91,24.23,11.61,58.71,70.46,84.55,81.7,59.87,60.53,74.0,4.676,8.919,0.633,61.5,0.9,0.121,0.77,0.699,0.389,102.3909605734767,0.5455232974910394,0.507068100358423,0.5595627240143369,-6.965207885304659,0.058815770609319,0.4878666666666667,2.292043010752688e-06,0.1416519713261649,Asia,pop
Italy,42.16,61.92,70.26,80.15,86.92,99.97,105.01,88.63,73.88,81.18,51.27,100.98,61.43,81.33,84.97,93.28,100.21,90.96,92.76,100.45,101.43,2.76,14.25,12.38,24.66,33.28,12.68,80.58,90.58,101.6,91.04,78.42,81.11,83.43,6.245,10.703,0.851,72.2,0.699,-0.053,0.819,0.636,0.293,182.2364716981132,0.5774905660377359,0.3111132075471698,0.5575849056603774,-8.305415094339622,0.2306849056603774,0.6209999999999999,0.0,0.08259245283018868,Europe,idm
Malaysia,31.04,43.44,81.43,95.49,117.04,120.79,115.15,106.54,65.57,92.71,44.53,118.34,42.85,89.94,83.12,98.73,108.58,99.16,107.66,122.28,126.01,2.65,16.52,9.62,17.51,36.14,17.57,84.74,93.96,103.76,98.61,83.74,82.96,90.29,5.868,10.283,0.779,65.6,0.965,0.154,0.754,0.761,0.195,130.5264793741109,0.5539459459459459,0.3660389758179232,0.5713058321479374,-7.721627311522049,0.05430839260312945,0.5293702702702703,0.003111112375533428,0.1295775248933144,Asia,pop
New Zealand,5.49,23.87,34.02,61.09,78.22,103.0,107.03,82.76,36.63,64.99,58.66,104.17,24.24,75.47,65.12,88.86,92.49,84.22,98.58,106.34,93.03,8.3,21.27,14.52,18.29,23.6,14.02,62.5,79.89,78.04,75.1,62.83,62.54,69.5,6.976,10.72,0.933,70.5,0.877,0.181,0.304,0.738,0.229,133.7824506769826,0.6261663442940039,0.4031644100580271,0.6136208897485493,-6.462947775628627,0.04500812379110251,0.2841102127659574,0.006338464642166344,0.1427439071566731,Oceania,rock
Nigeria,51.99,78.32,96.49,108.28,113.31,114.64,66.08,101.53,64.31,85.55,63.2,112.86,48.45,61.83,63.53,70.05,95.74,88.49,92.23,113.75,125.7,3.29,13.77,12.59,21.52,32.78,16.05,83.41,89.55,98.28,96.89,83.93,87.25,92.53,4.869,8.514,0.781,55.7,0.72,0.209,0.877,0.721,0.266,138.5513627118644,0.6047288135593221,0.7062203389830509,0.7106338983050847,-8.016935593220339,0.1292667796610169,0.2991884745762712,0.004458942372881356,0.1832461016949153,Africa,drum-and-bass
Peru,22.73,48.81,81.04,102.51,113.45,118.83,119.87,92.2,54.54,81.08,22.95,121.41,27.57,23.63,54.34,50.18,79.85,77.61,92.4,109.57,91.04,5.42,18.44,12.01,17.22,27.49,19.43,76.64,87.32,100.68,92.88,76.96,77.05,84.05,5.936,9.459,0.787,70.2,0.757,-0.061,0.919,0.765,0.37,125.4818339100346,0.6140276816608997,0.6186920415224914,0.8083079584775087,-5.063242214532872,0.07464982698961938,0.1121944636678201,4.128304498269896e-05,0.2477847750865052,Latin America,latino
Philippines,58.06,52.94,78.56,102.82,112.6,118.4,104.35,98.61,72.96,84.85,62.04,117.17,65.72,62.12,70.11,72.77,96.75,91.39,95.72,109.05,119.37,3.68,17.8,12.48,20.26,28.22,17.57,78.44,90.2,105.12,98.93,76.29,77.23,85.75,6.184,9.102,0.796,62.1,0.932,-0.038,0.768,0.8,0.324,121.0478163265306,0.6258214285714285,0.5666428571428571,0.7224642857142858,-7.801469387755102,0.09042755102040817,0.5152711224489795,0.01860119540816326,0.07577193877551021,Asia,edm
Saudi Arabia,29.71,47.57,65.72,86.67,100.2,98.33,135.87,83.93,41.27,64.88,49.03,101.19,20.98,46.09,62.84,60.38,65.94,62.55,77.88,96.13,106.49,5.34,19.78,13.23,21.92,27.2,12.54,67.84,78.22,88.87,82.91,67.36,75.77,72.66,6.953,10.829,0.884,64.8,,0.028,,0.737,0.24,113.7426727272727,0.614619696969697,0.4163245454545454,0.5421272727272728,-6.337430303030303,0.05810575757575758,0.1398582121212121,0.1373988491212121,0.1061113636363636,Middle East,indie
Singapore,24.18,38.3,61.27,86.89,110.1,118.26,107.7,84.32,48.32,95.51,28.43,115.29,45.68,68.59,65.89,68.76,74.22,82.64,84.46,103.78,109.32,3.4,18.84,12.07,20.63,31.84,13.22,75.83,86.73,94.71,85.11,74.89,70.72,85.81,6.654,,0.916,74.0,0.861,,0.153,0.667,0.19,135.0171238738739,0.6703130630630632,0.4644720720720721,0.5777905405405405,-5.92265990990991,0.04866328828828829,0.3342624774774775,4.332765765765766e-05,0.1277315315315315,Asia,pop
South Africa,19.76,38.18,50.42,60.5,79.53,94.7,108.59,60.4,29.14,52.46,17.88,93.05,7.77,38.18,29.14,47.07,67.78,61.7,69.05,90.04,91.17,8.0,26.95,14.27,19.49,21.64,9.64,50.3,67.93,69.03,70.22,50.14,51.58,60.81,5.076,9.503,0.839,58.3,0.748,-0.109,0.861,0.708,0.255,130.1921773700306,0.7250183486238532,0.6254831804281346,0.6447737003058104,-5.216495412844036,0.06212079510703365,0.1849669724770642,0.002364444036697248,0.1510119266055046,Africa,french
Spain,25.48,32.78,37.41,57.51,80.74,99.86,106.6,57.94,30.09,52.17,22.65,99.02,7.51,46.76,38.68,48.12,63.44,39.67,68.79,60.39,77.33,5.43,22.07,14.18,21.4,25.76,11.16,62.81,75.08,82.11,74.9,61.91,65.57,70.66,6.456,10.609,0.912,72.6,0.779,-0.004,0.675,0.655,0.325,128.0058653846154,0.7956346153846154,0.5662884615384616,0.6955576923076924,-5.897115384615385,0.1714942307692308,0.5865769230769231,8.837307692307693e-05,0.22955,Europe,latino
United Arab Emirates,33.42,55.09,71.81,95.41,108.81,106.73,119.6,86.73,47.74,70.09,32.22,104.96,54.11,51.23,50.85,66.94,61.39,68.38,77.7,93.7,122.8,5.4,19.59,13.84,21.62,28.41,11.15,67.35,79.86,87.8,83.52,64.94,69.61,77.05,6.728,11.236,0.776,66.6,0.886,0.155,,0.655,0.304,137.2000284900285,0.6173418803418803,0.4536296296296296,0.5958575498575499,-6.21891452991453,0.08691566951566952,0.2869656125356125,0.002914673304843305,0.1421273504273504,Middle East,pop
United Kingdom,19.08,27.27,34.78,36.45,52.7,87.66,105.37,52.11,10.08,39.05,22.63,91.39,-16.27,48.99,40.19,45.53,70.33,63.11,66.12,77.7,90.18,7.84,27.17,15.54,18.97,20.83,9.66,49.38,67.54,66.48,59.21,49.18,49.93,56.9,6.658,10.759,0.886,70.5,0.874,0.27,0.49,0.719,0.272,132.7493174311927,0.6896477064220183,0.4668752293577982,0.6225321100917431,-6.04963119266055,0.04674403669724771,0.204044543119266,0.0009733328256880733,0.1608018348623853,Europe,rock
United States,25.43,35.09,47.11,60.05,85.08,105.48,122.67,79.86,35.68,80.33,36.1,112.95,31.79,66.95,59.54,78.15,98.13,88.1,102.57,115.42,116.79,4.86,20.29,13.3,19.41,24.94,17.2,71.53,87.47,84.28,82.67,70.73,73.84,70.96,6.521,11.089,0.861,65.6,0.721,0.185,0.722,0.706,0.284,173.6251666666667,0.4211587301587302,0.2555,0.3974285714285714,-9.384380952380953,0.0392563492063492,0.5642292539682541,6.56626984126984e-06,0.104234126984127,North America,country
Uruguay,41.16,60.32,77.85,88.82,98.83,105.43,116.0,95.39,65.44,80.07,48.97,104.32,34.67,78.04,85.61,90.52,107.49,102.54,112.16,111.67,112.74,3.45,16.92,10.66,20.51,31.16,17.32,80.84,94.71,97.56,95.23,79.28,82.03,83.75,6.662,10.122,0.908,67.5,0.904,-0.05,0.662,0.753,0.265,153.2574659090909,0.6831363636363637,0.6385454545454545,0.7357954545454546,-4.490886363636363,0.07882840909090909,0.1583636363636364,0.0001578863636363636,0.231425,Latin America,brazil
